index,Company,TypeName,Inches,ScreenResolution,Cpu,ram,Memory,memory_space,memory_type,extend_memory,gpu_brand,OpSys,gpu_name,Weight,price,extend_memory_type
321,Lenovo,Notebook,17.0,1600x900,"Intel Core i5 7200U 2.5GHz",4,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce 920MX",2.79,31382,NULL
322,Asus,Notebook,14.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",2,58288,NULL
323,HP,Notebook,16.0,"IPS Panel Full HD 1366x768","Intel Core i7 8550U 1.8GHz",8,"1TB HDD",1TB," HDD",NULL,Intel,windows," UHD Graphics 620",2.1,48059,NULL
324,Acer,Notebook,16.0,1366x768,"AMD A12-Series 9720P 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon RX 540",2.2,35112,NULL
325,Lenovo,Notebook,14.0,1366x768,"Intel Celeron Dual Core N3350 1.1GHz",4,"32GB Flash Storage",32GB," Flash Storage",NULL,Intel,windows," HD Graphics 500",1.44,15558,NULL
326,Acer,Notebook,16.0,1366x768,"Intel Core i5 7200U 2.5GHz",6,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 620",8.23,29251,NULL
327,Asus,Ultrabook,16.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce 940MX",1.7,55939,NULL
328,HP,Ultrabook,13.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.26,71129,NULL
329,Dell,Notebook,16.0,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz",32,"1TB SSD",1TB," SSD",NULL,Nvidia,windows," GeForce GTX 1050",2.06,140606,NULL
330,MSI,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050 Ti",2.7,63883,HDD
331,Toshiba,Notebook,16.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",2.0,50243,NULL
332,Asus,Notebook,14.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Intel,windows," HD Graphics 620",2,71076,HDD
333,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 520",1.85,23923,NULL
334,Asus,Gaming,16.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce GTX 1050",2.5,53227,NULL
335,HP,Notebook,14.0,"Full HD 1920x1080","Intel Core i5 7300U 2.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.48,67559,NULL
337,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.84,60952,NULL
338,Asus,Notebook,16.0,1366x768,"Intel Celeron Dual Core N3350 1.1GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,linux," HD Graphics 500",2,14651,NULL
339,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce 940MX",2,60886,NULL
340,Dell,Notebook,16.0,1366x768,"Intel Celeron Dual Core N3060 1.6GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,linux," HD Graphics",2.2,14647,NULL
341,Lenovo,Notebook,16.0,"Full HD 1920x1080","AMD A12-Series 9720P 3.6GHz",12,"2TB HDD",2TB," HDD",NULL,AMD,windows," Radeon 530",2.2,47899,NULL
342,HP,Notebook,16.0,"IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce 930MX ",2.1,38148,NULL
343,Lenovo,"2 in 1 Convertible",14.0,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz",16,"512GB SSD",512GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.4,111835,NULL
344,Dell,Ultrabook,13.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.2,84129,NULL
345,Lenovo,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  2TB HDD",256GB," SSD   ",2TB,Nvidia,windows," GeForce GTX 1050 Ti",2.4,60153,HDD
346,HP,Notebook,14.0,1366x768,"Intel Celeron Dual Core N3060 1.6GHz",2,"32GB Flash Storage",32GB," Flash Storage",NULL,Intel,windows," HD Graphics 400",1.44,14865,NULL
347,Dell,Ultrabook,16.0,"Full HD 1920x1080","Intel Core i7 8650U 1.9GHz",16,"512GB SSD +  256GB SSD",512GB," SSD   256GB SSD",NULL,Intel,windows," UHD Graphics 620",1.88,85672,NULL
348,Asus,"2 in 1 Convertible",12.0,"Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"32GB Flash Storage",32GB," Flash Storage",NULL,Intel,windows," HD Graphics 500",1.5,19980,NULL
349,Dell,Ultrabook,16.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"1TB HDD",1TB," HDD",NULL,AMD,windows," Radeon 530",0.0002,35325,NULL
351,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.84,69477,NULL
352,MSI,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1060",2.7,75072,HDD
353,HP,Workstation,16.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," Quadro M1200",2.6,92615,NULL
354,Toshiba,Notebook,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",16,"512GB SSD",512GB," SSD",NULL,Nvidia,windows," GeForce 930M",2.4,74752,NULL
355,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"128GB SSD +  2TB HDD",128GB," SSD   ",2TB,AMD,windows," Radeon 530",2.02,51730,HDD
356,Lenovo,Notebook,16.0,1366x768,"Intel Celeron Dual Core N3350 1.1GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,NA," HD Graphics 500",2.2,17156,NULL
357,Dell,Gaming,16.0,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce GTX 1050",2.65,53227,NULL
358,Dell,Notebook,16.0,"Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz",8,"2TB HDD",2TB," HDD",NULL,Intel,windows," HD Graphics 620",2.36,29697,NULL
359,Dell,Notebook,14.0,"Full HD 1920x1080","Intel Core i5 7300U 2.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.36,76031,NULL
360,HP,Notebook,16.0,1366x768,"Intel Core i3 6006U 2GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,windows," HD Graphics 520",1.86,23390,NULL
361,Asus,Notebook,14.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",2,50350,NULL
362,Lenovo,Notebook,17.0,1600x900,"Intel Core i5 7200U 2.5GHz",6,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 940MX",2.8,38308,HDD
363,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 620",1.86,34046,NULL
364,Lenovo,Notebook,16.0,1366x768,"Intel Core i3 6006U 2GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,NA," GeForce 920MX ",2.2,26587,NULL
365,HP,Notebook,16.0,1366x768,"Intel Pentium Quad Core N3710 1.6GHz",8,"2TB HDD",2TB," HDD",NULL,Intel,windows," HD Graphics 405",2.04,20726,NULL
366,Dell,Notebook,17.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,AMD,windows," Radeon 530",2.8,57809,HDD
367,Lenovo,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,NA," GeForce GTX 1050",2.4,43104,HDD
368,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon R7 M445",2.33,47899,NULL
369,HP,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.36,93240,NULL
370,Asus,"2 in 1 Convertible",16.0,"Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",12,"512GB SSD +  2TB HDD",512GB," SSD   ",2TB,Nvidia,windows," GeForce GT 940MX",2.26,58555,HDD
371,Acer,Notebook,16.0,1366x768,"AMD A9-Series 9420 3GHz",4,"128GB SSD",128GB," SSD",NULL,AMD,windows," Radeon R5",2.1,22697,NULL
372,Asus,Gaming,17.0,"IPS Panel Full HD 1920x1080","AMD Ryzen 1700 3GHz",16,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,AMD,windows," Radeon RX 580",3.25,117163,HDD
373,Lenovo,Notebook,17.0,1600x900,"AMD A8-Series 7410 2.2GHz",4,"128GB SSD",128GB," SSD",NULL,AMD,windows," Radeon R5",2.6,26054,NULL
374,Dell,"2 in 1 Convertible",13.0,"Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.62,46301,NULL
375,HP,Notebook,16.0,"Full HD 1920x1080","AMD A9-Series 9420 3GHz",4,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon R5",1.91,26053,NULL
376,Lenovo,Netbook,12.0,"IPS Panel 1366x768","Intel Celeron Quad Core N3450 1.1GHz",4,"128GB SSD",128GB," SSD",NULL,Intel,windows," HD Graphics 500",1.59,29464,NULL
377,Dell,Notebook,16.0,1366x768,"Intel Celeron Dual Core N3060 1.60GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,windows," HD Graphics 400",1.8,16464,NULL
378,Asus,Notebook,14.0,1366x768,"Intel Celeron Dual Core N3350 1.1GHz",4,"32GB Flash Storage",32GB," Flash Storage",NULL,Intel,windows," HD Graphics 500",1.5,15238,NULL
379,Acer,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,linux," GeForce GTX 1050",2.4,45075,NULL
380,HP,Gaming,17.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050",3.35,63456,HDD
381,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"128GB SSD",128GB," SSD",NULL,Intel,NA," HD Graphics 520",1.85,21498,NULL
382,Asus,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1060",2.3,88178,HDD
383,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce 940MX",1.5,58555,NULL
384,Asus,Ultrabook,13.0,"Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",16,"512GB SSD",512GB," SSD",NULL,Intel,windows," HD Graphics 620",1.1,93181,NULL
385,Lenovo,Ultrabook,14.0,"IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz",8,"512GB SSD",512GB," SSD",NULL,Intel,windows," HD Graphics 620",1.13,121585,NULL
386,Lenovo,Notebook,13.0,"IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",4,"128GB SSD",128GB," SSD",NULL,Intel,windows," HD Graphics 620",1.5,29251,NULL
387,Dell,Workstation,16.0,"Full HD 1920x1080","Intel Core i5 6440HQ 2.6GHz",8,"500GB HDD",500GB," HDD",NULL,AMD,windows," FirePro W5130M",2.23,72940,NULL
388,Dell,Workstation,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HQ 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," Quadro M1200",2,113753,NULL
389,Lenovo,"2 in 1 Convertible",14.0,"Touchscreen 2560x1440","Intel Core i7 7500U 2.7GHz",16,"512GB SSD",512GB," SSD",NULL,Intel,windows," HD Graphics 620",1.42,133680,NULL
390,Asus,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce GTX 1050",3,55358,NULL
391,Asus,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050 Ti",3,84768,HDD
392,Acer,Notebook,16.0,"IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz",12,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce MX130",2.2,36976,NULL
393,MSI,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce GTX 1050 Ti",2.7,71875,NULL
394,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,linux," Radeon R7 M445",2.33,41498,NULL
395,HP,Ultrabook,16.0,"Full HD 1920x1080","AMD A9-Series 9420 3GHz",4,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon 520",1.91,26587,NULL
396,Lenovo,Notebook,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon RX 550",2.1,65511,NULL
397,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.9,49977,NULL
398,Dell,Workstation,16.0,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," Quadro M1200",1.78,144495,NULL
399,Lenovo,Ultrabook,14.0,"IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz",16,"1TB SSD",1TB," SSD",NULL,Intel,windows," HD Graphics 620",1.13,139860,NULL
400,Lenovo,Notebook,16.0,1366x768,"Intel Celeron Dual Core N3350 1.1GHz",4,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 500",2.2,16304,NULL
401,Asus,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050",2.9,81465,HDD
402,Lenovo,Notebook,26.0,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,AMD,windows," Radeon RX 550",2.1,60979,HDD
403,Acer,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,linux," GeForce GTX 1050",2.5,46833,NULL
404,MSI,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1070",2.8,119827,HDD
405,Asus,Ultrabook,14.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"512GB SSD",512GB," SSD",NULL,Intel,windows," HD Graphics 620",1.10,99793,NULL
406,Toshiba,Ultrabook,13.0,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",16,"512GB SSD",512GB," SSD",NULL,Intel,windows," HD Graphics 520",1.2,93080,NULL
407,Dell,Ultrabook,14.0,"Full HD 1920x1080","Intel Core i7 7600U 2.8GHz",8,"512GB SSD",512GB," SSD",NULL,Intel,windows," HD Graphics",1.36,89510,NULL
408,Lenovo,Notebook,36.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,windows," HD Graphics 520",2.2,21792,NULL
409,Lenovo,Notebook,12.0,1366x768,"Intel Celeron Dual Core N3350 1.1GHz",2,"32GB Flash Storage",32GB," Flash Storage",NULL,Intel,windows," HD Graphics 500",1.15,16221,NULL
410,Lenovo,Workstation,16.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"512GB SSD",512GB," SSD",NULL,Nvidia,windows," Quadro M1200",2.67,102564,NULL
411,Lenovo,Ultrabook,14.0,"IPS Panel Full HD 2560x1440","Intel Core i7 7700HQ 2.8GHz",8,"512GB SSD",512GB," SSD",NULL,Nvidia,windows," GeForce GT 940MX",1.7,103523,NULL
412,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD",1TB," HDD",NULL,AMD,windows," Radeon 520",2.1,24988,NULL
413,Acer,"2 in 1 Convertible",13.0,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 520",1.6,42038,NULL
414,Asus,"2 in 1 Convertible",13.0,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.27,49444,NULL
415,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"256GB SSD",256GB," SSD",NULL,AMD,linux," Radeon R5 M430",2.3,31909,NULL
416,Dell,Notebook,13.0,1366x768,"Intel Core i3 6006U 2GHz",4,"128GB SSD",128GB," SSD",NULL,Intel,windows," HD Graphics 520",1.65,36710,NULL
417,HP,Ultrabook,14.0,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 520",1.43,79920,NULL
418,Dell,Notebook,16.0,1366x768,"Intel Core i5 7200U 2.5GHz",8,"1TB HDD",1TB," HDD",NULL,Intel,windows," HD Graphics 620",2.14,28769,NULL
419,Lenovo,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon RX 550",1.75,64755,NULL
420,Lenovo,"2 in 1 Convertible",16.0,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz",16,"512GB SSD",512GB," SSD",NULL,Nvidia,windows," GeForce GTX 1050",2,101179,NULL
421,Chuwi,Notebook,12.0,"IPS Panel Retina Display 2736x1824","Intel Celeron Quad Core N3450 1.1GHz",6,"64GB Flash Storage",64GB," Flash Storage",NULL,Intel,windows," HD Graphics 500",1.4,23923,NULL
422,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 630",2.31,76031,NULL
423,Asus,Notebook,36.0,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,linux," GeForce 940MX",2.3,31808,NULL
424,Dell,Gaming,27.0,"IPS Panel 2560x1440","Intel Core i7 7820HK 2.9GHz",16,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1070",4.42,149131,HDD
425,Dell,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050 Ti",2.62,61752,HDD
426,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD +  2TB HDD",256GB," SSD   ",2TB,AMD,windows," Radeon 530",2.02,60867,HDD
427,Dell,Ultrabook,14.0,"Full HD 1920x1080","Intel Core i7 7600U 2.8GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,linux," HD Graphics 620",1.6,58555,NULL
428,HP,Gaming,17.0,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1070",3.35,106507,HDD
429,Mediacom,"2 in 1 Convertible",12.0,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Celeron Dual Core N3350 1.1GHz",4,"32GB SSD",32GB," SSD",NULL,Intel,windows," HD Graphics 500",1.16,15931,NULL
430,Samsung,Netbook,12.0,1366x768,"Intel Celeron Dual Core N3060 1.6GHz",4,"16GB Flash Storage",16GB," Flash Storage",NULL,Intel,others," HD Graphics 400",1.15,14332,NULL
431,Lenovo,Notebook,13.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.4,53813,NULL
432,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"128GB SSD",128GB," SSD",NULL,Intel,windows," HD Graphics 620",1.7,31915,NULL
433,Lenovo,Workstation,16.0,"IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7600U 2.8GHz",16,"512GB SSD",512GB," SSD",NULL,Nvidia,windows," GeForce 940MX",2.3,130270,NULL
434,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz",16,"512GB SSD",512GB," SSD",NULL,Nvidia,windows," Quadro M2200M",2.5,130483,NULL
435,Asus,Gaming,17.0,"Full HD 1920x1080","AMD Ryzen 1600 3.2GHz",8,"256GB SSD +  1TB HDD",256GB," SSD   ",1TB,AMD,windows," Radeon RX 580",3.2,90310,HDD
436,HP,Notebook,16.0,1366x768,"Intel Celeron Dual Core N3060 1.6GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,windows," HD Graphics 400",2.1,18488,NULL
437,Google,Ultrabook,12.0,"Touchscreen 2400x1600","Intel Core i7 7Y75 1.3GHz",16,"512GB SSD",512GB," SSD",NULL,Intel,others," HD Graphics 615",1.1,117163,NULL
438,Lenovo,Ultrabook,24.0,2560x1440,"Intel Core i7 7500U 2.7GHz",24,"512GB SSD",512GB," SSD",NULL,Intel,windows," HD Graphics 620",1.32,126913,NULL
439,Asus,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"256GB SSD",256GB," SSD",NULL,Intel,linux," HD Graphics 620",2,29784,NULL
440,Lenovo,Notebook,17.0,1600x900,"AMD A6-Series 9220 2.5GHz",8,"1TB HDD",1TB," HDD",NULL,AMD,windows," Radeon R4",2.8,27652,NULL
441,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",4,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon 530",2.2,39907,NULL
442,Lenovo,Ultrabook,13.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.36,76137,NULL
443,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Pentium Quad Core N4200 1.1GHz",4,"128GB SSD",128GB," SSD",NULL,Intel,windows," HD Graphics 505",2.2,18595,NULL
444,HP,Gaming,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,Nvidia,windows," GeForce GTX 1050",2.2,58555,HDD
445,Dell,Notebook,14.0,"Full HD 1920x1080","Intel Core i5 7440HQ 2.8GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce 930MX",1.64,62817,NULL
446,Acer,Notebook,16.0,1366x768,"Intel Core i5 7200U 2.5GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,linux," HD Graphics 620",2.4,23539,NULL
447,Dell,Workstation,16.0,"Full HD 1920x1080","Intel Xeon E3-1505M V6 3GHz",8,"64GB Flash Storage +  1TB HDD",64GB," Flash Storage   ",1TB,Nvidia,windows," Quadro M620",2.23,106187,HDD
448,MSI,Gaming,16.0,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," GeForce GTX 1050",2.2,54758,NULL
449,Microsoft,Ultrabook,14.0,"Touchscreen 2256x1504","Intel Core i7 7660U 2.5GHz",16,"512GB SSD",512GB," SSD",NULL,Intel,windows," Iris Plus Graphics 640",1.25,137942,NULL
450,HP,Notebook,16.0,1366x768,"Intel Core i5 7200U 2.5GHz",8,"128GB SSD",128GB," SSD",NULL,Intel,windows," HD Graphics 620",1.91,31382,NULL
451,Dell,Workstation,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HQ 2.7GHz",16,"256GB SSD",256GB," SSD",NULL,Nvidia,windows," Quadro M620",2.17,105228,NULL
452,HP,Workstation,16.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz",8,"512GB SSD",512GB," SSD",NULL,Intel,windows," HD Graphics 620",2.31,81732,NULL
453,Lenovo,Notebook,14.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 620",1.65,71662,NULL
454,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"128GB SSD +  1TB HDD",128GB," SSD   ",1TB,AMD,windows," Radeon 530",2.36,52161,HDD
455,Dell,"2 in 1 Convertible",12.0,"Touchscreen 1366x768","Intel Pentium Quad Core N3710 1.6GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,windows," HD Graphics 405",1.47,25521,NULL
456,Dell,Notebook,17.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.7GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,windows," GeForce GTX 1060",4.42,109011,NULL
457,Microsoft,Ultrabook,14.0,"Touchscreen 2256x1504","Intel Core M m3-7Y30 2.2GHz",4,"128GB SSD",128GB," SSD",NULL,Intel,windows," HD Graphics 615",1.252,52694,NULL
458,Microsoft,Ultrabook,34.0,"Touchscreen 2256x1504","Intel Core i7 7660U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," Iris Plus Graphics 640",1.25,95851,NULL
459,HP,Notebook,17.0,1600x900,"Intel Core i3 6006U 2GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," HD Graphics 520",2.5,34094,NULL
